name,short,code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,g20,tx,ty,gx,gy,cx,cy,w,rate,peak,code,peak1,peak2,peak3,g20
Romania,Rom.,ROU,73600,77100,81800,86900,91000,95900,101000,108000,114000,117000,121000,127000,135000,141000,145000,153000,160000,171000,181000,193000,199000,206000,213000,227000,233000,245000,257000,261000,276000,279000,277000,279000,276000,294000,276000,280000,285000,292000,289000,307000,251000,207000,193000,184000,180000,186000,189000,178000,158000,139000,145000,151000,150000,154000,152000,149000,148000,151000,145000,125000,120000,-33400,-35900,-46000,-46200,-44800,1,606.9,213.8,524.3,227.8,756.2,354.9,25.2,0,0,ROU,1,1,1,1
Russian Federation,Russia,RUS,723000,1070000,1180000,1280000,1410000,1560000,1710000,1860000,2000000,1880000,1950000,2000000,2070000,2170000,2250000,2340000,2420000,2480000,2520000,2580000,2560000,2660000,2750000,2790000,2860000,2970000,3070000,3150000,3220000,3220000,3310000,3300000,3360000,3420000,3470000,3650000,3700000,3830000,3960000,3940000,3850000,3800000,3270000,3080000,2770000,2690000,2630000,2490000,2530000,2500000,2530000,2420000,2440000,2600000,2550000,2570000,2480000,2490000,2660000,2430000,2510000,2570000,2660000,2540000,2550000,2570000,1,889,213.8,608.6,140.7,46,169,101,2,0,RUS,1,1,1,1
Saudi Arabia,S. Ara.,SAU,9810,6590,7100,8000,9160,10500,10800,11900,14200,13500,15100,17000,19900,21500,22800,22200,25600,46700,52600,61400,58200,74000,90200,121000,126000,105000,128000,141000,135000,155000,184000,177000,160000,158000,143000,155000,181000,172000,184000,187000,171000,236000,256000,281000,282000,230000,253000,224000,221000,237000,301000,307000,334000,343000,404000,410000,444000,410000,449000,485000,533000,523000,585000,567000,621000,643000,1,747.9,390.1,555.7,351.6,38.8,442.7,62.4,0,,SAU,,,,1
Slovak Republic,Slo. Rep.,SVK,24600,25900,27400,28500,30200,31600,33700,35600,38500,39400,41700,44700,47200,49200,51300,51000,51600,52600,55100,58300,63100,65300,67200,67500,68000,70500,72500,74100,74300,73500,74100,72500,71200,70500,76200,75600,75300,74900,75400,76300,74500,55200,49700,46200,43600,44800,45200,45000,43500,42200,40200,43300,41300,41800,42400,42400,45100,43300,44000,39500,40400,40600,38400,38000,35800,36400,1,571.6,178.6,524.4,189.2,730.7,216.8,18.7,0,0,SVK,1,1,1,1
Slovenia,Slo.,SVN,4600,4560,4600,4740,5120,5470,5880,6230,6320,6840,7280,7610,7860,8290,8960,9420,9720,10300,11100,11500,13500,14200,13500,16500,16600,16900,17500,17400,19400,21000,20800,19700,19000,20400,21100,19700,20500,19900,19600,19500,18700,10600,10700,10900,11300,12000,12700,13100,12800,12200,12400,9780,9930,9640,9970,10300,13000,13100,13800,11800,11900,13500,12900,12200,10500,10700,1,536.4,249.1,503.2,238.7,775.6,287,14.2,0,2,SVN,,1,1,1
Sweden,Swe.,SWE,46100,51200,52500,50900,53300,58500,63400,59200,63100,64000,71300,71500,74300,78600,84200,86800,97200,93900,103000,113000,117000,109000,109000,113000,105000,104000,111000,108000,101000,107000,92700,89700,81300,76900,76900,81800,80500,77800,75200,73200,72100,72200,71700,72000,74500,74300,77800,73000,73300,70400,69200,69500,70400,70900,69900,67400,64900,63200,61000,56700,62600,58500,55100,53500,52000,51000,1,536.4,72.8,497.8,101.3,730.7,235.5,21.1,0,0,SWE,,1,1,1
Turkey,Tur.,TUR,150000,130000,127000,126000,123000,119000,120000,121000,121000,122000,121000,122000,125000,125000,127000,129000,137000,142000,147000,150000,150000,155000,163000,170000,173000,179000,190000,201000,196000,194000,196000,190000,197000,198000,208000,218000,232000,250000,248000,268000,279000,204000,210000,219000,213000,229000,246000,258000,261000,260000,279000,251000,258000,278000,290000,312000,312000,344000,342000,351000,357000,376000,389000,382000,396000,415000,1,677.4,319.6,561.5,245.4,101.2,442.7,48.8,2,2,TUR,,1,1,1
United States,USA,USA,3630000,3780000,3560000,3550000,3430000,3670000,3860000,3830000,3860000,3810000,3880000,3830000,3960000,4100000,4240000,4380000,4700000,4880000,5040000,5300000,5620000,5460000,5730000,5950000,5760000,5580000,5890000,6030000,6210000,6280000,6060000,5870000,5600000,5630000,5820000,5810000,5820000,6040000,6320000,6450000,6310000,6030000,6140000,6250000,6350000,6420000,6620000,6660000,6720000,6790000,6920000,6750000,6800000,6840000,7020000,7000000,6920000,7100000,6810000,6380000,6580000,6740000,6500000,6630000,6700000,6540000,1,78,143.3,37.1,206.8,10.1,269.9,172.7,0,2,USA,,1,1,1
South Africa,S. Africa,ZAF,122000,127000,132000,132000,135000,143000,146000,149000,155000,155000,160000,168000,175000,182000,194000,205000,208000,218000,226000,236000,234000,246000,250000,255000,258000,259000,267000,269000,271000,294000,298000,321000,335000,341000,367000,371000,374000,373000,388000,388000,365000,374000,362000,376000,393000,415000,423000,447000,441000,455000,448000,448000,461000,484000,500000,503000,485000,513000,501000,506000,525000,536000,536000,536000,558000,540000,1,571.9,636.9,425.9,442,339.7,464.2,56.9,0,,ZAF,,,,1
Aruba,Aru.,ABW,1180,1860,1080,1240,2510,2080,2690,1840,1610,2070,1780,1860,2040,1960,1900,1710,1600,1970,1830,2400,2660,2330,2260,2500,2270,1660,3490,1840,1580,1660,1700,1630,1810,960,2310,2700,236,507,674,712,1700,1750,1530,1670,1690,1750,1760,1850,1870,1880,2460,2490,2520,2640,2700,2800,2800,2910,2750,2720,2600,2590,1440,952,964,999,,null,null,232,443.8,null,null,8.1,,,ABW,,,,
